Genus,species,URL,Primary Research,Environment,Domain,Phylum/Kingdom,Netid,Environment Notes,,
Abiotrophia,defectiva,https://microbewiki.kenyon.edu/index.php/Abiotrophia_defectiva,Animal Microbiome,Animal Host,Bacteria,Firmicutes,Precompleted,Oral,Upper respiratory,Intestine
Acanthamoeba,polyphaga,https://microbewiki.kenyon.edu/index.php/Acanthamoeba_polyphaga,Environmental Microbiome,General,Eukaryota,Rhizopoda,Precompleted,Poor hygiene,,
Acetabularia,acetabulum,https://microbewiki.kenyon.edu/index.php/Acetabularia_acetabulum,Environmental Microbiome,Marine,Eukaryota,Chlorophyta,Precompleted,Shallow sea,,
Acetobacter,aceti,https://microbewiki.kenyon.edu/index.php/Acetobacter_aceti,Environmental Microbiome,General,Bacteria,Proteobacteria,Precompleted,Domesticated,,
Acetobacter,xylinum,https://microbewiki.kenyon.edu/index.php/Acetobacter_xylinum,Environmental Microbiome,Soil,Bacteria,Proteobacteria,Precompleted,Soil and rotten fruit,,
Acetobacterium,woodii,https://microbewiki.kenyon.edu/index.php/Acetobacterium_woodii,Environmental Microbiome,Sediment,Bacteria,Firmicutes,Precompleted,Saline pond soil,,
Acholeplasma,laidlawii,https://microbewiki.kenyon.edu/index.php/Acholeplasma_laidlawii,Environmental Microbiome,Animal Host ,Bacteria,Firmicutes,Precompleted,Generalist,,
Acidithiobacillus,ferrooxidans,https://microbewiki.kenyon.edu/index.php/Acidithiobacillus_ferrooxidans,Environmental Microbiome,Caves/Mine Drainage,Bacteria,Proteobacteria,Precompleted,Mine Drainage,Cave,
Acidithiobacillus,thiooxidans,https://microbewiki.kenyon.edu/index.php/Acidithiobacillus_thiooxidans,Environmental Microbiome,Caves/Mine Drainage,Bacteria,Proteobacteria,Precompleted,Sewer,Cave,
Acidobacteria,capsulatum,https://microbewiki.kenyon.edu/index.php/Acidobacteria_capsulatum,Environmental Microbiome,Aquatic and Soil,Bacteria,Fibrobacteres,Precompleted,Mine Drainage,,
Acidothermus,cellulolyticus,https://microbewiki.kenyon.edu/index.php/Acidothermus_cellulolyticus,Extremophile,Thermoacidophile,Bacteria,Actinobacteria,Precompleted,Acidic hot springs,,
Acinetobacter,baumannii,https://microbewiki.kenyon.edu/index.php/Acinetobacter_baumannii,Pathogen,General,Bacteria,Proteobacteria,Precompleted,Hospitals,,
Actinobacillus,actinomycetemcomitans,https://microbewiki.kenyon.edu/index.php/Actinobacillus_actinomycetemcomitans,Pathogen,Animal Host,Bacteria,Proteobacteria,Precompleted,Oral cavity,,
Actinobacillus,pleuropneumoniae,https://microbewiki.kenyon.edu/index.php/Actinobacillus_pleuropneumoniae,Animal Microbiome,Animal Host,Bacteria,Proteobacteria,Precompleted,Pigs,,
Actinobacillus,succinogenes,https://microbewiki.kenyon.edu/index.php/Actinobacillus_succinogenes,Industrial,Animal Host,Bacteria,Proteobacteria,Precompleted,Bovine rumen,,
Actinomyces,gerencseriae,https://microbewiki.kenyon.edu/index.php/Actinomyces_gerencseriae,Pathogen,Animal Host,Bacteria,Actinobacteria,Precompleted,Oral cavity,,
Actinomyces,israelii,https://microbewiki.kenyon.edu/index.php/Actinomyces_israelii,Environmental Microbiome,General,Bacteria,Actinobacteria,Precompleted,"soil, IUD",,
Actinomyces,naeslundii,https://microbewiki.kenyon.edu/index.php/Actinomyces_naeslundii,Pathogen,Animal Host,Bacteria,Actinobacteria,Precompleted,Oral cavity,,
Aerococcus,urinae,https://microbewiki.kenyon.edu/index.php/Aerococcus_urinae,Pathogen,Animal Host ,Bacteria,Firmicutes,Precompleted,"soil, vegetation, UTI",,
Aeromonas,Hydrophila,https://microbewiki.kenyon.edu/index.php/Aeromonas_Hydrophila,Pathogen,Aquatic,Bacteria,Proteobacteria,Precompleted,"fresh and saline, sediments",,
Aeromonas,media,https://microbewiki.kenyon.edu/index.php/Aeromonas_media,Pathogen,Aquatic and Soil,Bacteria,Proteobacteria,Precompleted,sunny soil,,
Aeromonas,salmonicida,https://microbewiki.kenyon.edu/index.php/Aeromonas_salmonicida,Animal Microbiome,Animal Host,Bacteria,Proteobacteria,Precompleted,Salmon,,
Aeromonas,veronii,https://microbewiki.kenyon.edu/index.php/Aeromonas_veronii,Environmental Microbiome,General,Bacteria,Proteobacteria,Precompleted,"leeches, soil, water",,
Aeropyrum,pernix,https://microbewiki.kenyon.edu/index.php/Aeropyrum_pernix,Environmental Microbiome,Thermophile,Archaea ,Crenarchaeota,Precompleted,Hydrothermic vents,,
Agrobacterium,radiobacter,https://microbewiki.kenyon.edu/index.php/Agrobacterium_radiobacter,Rhizosphere,Soil,Bacteria,Proteobacteria,Precompleted,Rhizosphere,,
Agrobacterium,rhizogenes,https://microbewiki.kenyon.edu/index.php/Agrobacterium_rhizogenes,Rhizosphere,Soil,Bacteria,Proteobacteria,Precompleted,Found in rhizospheres,,
Agrobacterium,tumefaciens,https://microbewiki.kenyon.edu/index.php/Agrobacterium_tumefaciens,Rhizosphere,Soil,Bacteria,Proteobacteria,Precompleted,Plant Host,,
